title	url	tags
Отцу Бритни Спирс ампутировали ногу	https://www.vesti.ru/television/article/3689593	здоровье,шоу-бизнес,Бритни Спирс,ампутация,общество,новости,медицина,новости/шоу
Три человека погибли в ДТП с самосвалом в Брянской области	https://www.vesti.ru/article/3689689	происшествия,авария,ДТП,новости,Брянская область
Гражданин КНР погиб в шахте в Туве	https://www.vesti.ru/article/3689544	происшествия,гибель,Китай/КНР,несчастный случай,рабочий,новости,Тыва/Тува
"Спецназ ""Ахмат"" пополнился новыми добровольцами в зоне СВО"	https://www.vesti.ru/article/3689620	Украина,спецоперация,Рамзан Кадыров,общество,Россия,новости
Министр спорта Франции: возможные теракты не отменят Олимпиаду-2024	https://www.vesti.ru/article/3689627	спорт,Франция,Париж,терроризм,Олимпиада/Олимпийские игры,новости
Минобороны РФ: за сутки отражены 8 атак ВСУ	https://www.vesti.ru/article/3689536	спецоперация,общество,новости,ВСУ / Вооруженные силы Украины,Минобороны РФ,события дня
Отец отправился на спецоперацию вслед за сыном	https://www.vesti.ru/article/3689447	сын,отец,спецоперация,Россия 1,общество,новости,Только у нас,новости/шоу
Вера Брежнева лишилась последнего бизнеса в России	https://www.vesti.ru/article/3689517	бизнес,шоу-бизнес,Вера Брежнева,общество,Россия,новости,певица
Житель Москвы убил бабушку молотком	https://www.vesti.ru/article/3689562	происшествия,убийство,суд,арест,бабушка,Москва,новости
Житель Москвы убил бабушку молотком	https://www.vesti.ru/article/3689562	происшествия,убийство,суд,арест,бабушка,Москва,новости
На ЗАЭС сменились инспекторы МАГАТЭ	https://www.vesti.ru/article/3689472	безопасность,Росатом,МАГАТЭ,наблюдатели,общество,Россия,новости,Запорожская АЭС
Министр экономики ФРГ попался пранкерам, несмотря на предупреждения	https://www.vesti.ru/article/3689545	политика,Германия,Украина,пранк,общество,новости,Лексус/Алексей Столяров,Вован/Владимир Кузнецов,события дня
"Совфед рассмотрит проект закона ""О занятости населения в России"""	https://www.vesti.ru/article/3689533	политика,Совет Федерации,занятость,общество,новости,события дня
Автомобиль певца Трофима попал в ДТП, пока тот был на гастролях	https://www.vesti.ru/television/article/3689461	происшествия,шоу-бизнес,авария,ДТП,инцидент,Сергей Трофимов,общество,новости,певец,новости/шоу
"Для бывшего владельца банка ""Югра"" запросили почти 10 лет колонии"	https://www.vesti.ru/article/3689511	происшествия,суд,банк,кредит,растрата,Москва,новости
В Финляндии возбудили дело о поставках БПЛА в Россию	https://www.vesti.ru/article/3689442	происшествия,расследование,Финляндия,уголовное дело,санкции,общество,Россия,новости,беспилотник/БПЛА
"Актер из ""Сверхъестественного"" попал в реанимацию после шести инфарктов"	https://www.vesti.ru/television/article/3689362	актер/актриса,здоровье,шоу-бизнес,общество,новости,новости/кино,новости/сериалы
Депутат Шеремет: в ГД внесен законопроект о признании внутренним Азовского моря	https://www.vesti.ru/article/3689496	политика,Госдума/Государственная дума,законопроект,Азовское море,общество,новости,события дня
"""Лукойл"" пересмотрит работу своих предприятий в Болгарии"	https://www.vesti.ru/finance/article/3689530	ЛУКойл,Болгария,новости,НПЗ,экономика
"Умерла актриса из сериала ""Склифосовский"" Татьяна Владимирова"	https://www.vesti.ru/television/article/3689505	актер/актриса,смерть/кончина,кино,Склифосовский,общество,новости,новости/сериалы
Собянин: с 1 января минимальная пенсия в Москве будет 24,5 тыс. рублей	https://www.vesti.ru/article/3689475	Сергей Собянин,пенсия,социальные выплаты,общество,Москва,новости,экономика
"""Лион"" не сможет сыграть на своем стадионе из-за певицы Тейлор Свифт"	https://www.vesti.ru/article/3689380	спорт,концерт,футбол,Тейлор Свифт,общество,новости,чемпионат Франции футбол,Лион футбол,Лига 1 футбол
В МИД РФ назвали провальным введенный Западом потолок цен на нефть	https://www.vesti.ru/finance/article/3689378	политика,нефть,МИД России,санкции,новости,экономика
Экс-футболист Моррисон парковался по удостоверению умершего инвалида	https://www.vesti.ru/article/3689491	спорт,спортсмен,футбол,парковка,Манчестер,новости,Манчестер Юнайтед футбол
8 лет покаяния: как Елена Цыплакова выжила в схватке со страшной болезнью	https://www.vesti.ru/television/article/3689401	актер/актриса,режиссер,болезнь,здоровье,Елена Цыплакова,Россия 1,малярия,общество,новости,медицина,Только у нас,новости/кино,новости/сериалы,новости/шоу
Рогов: новая помощь США Украине будет зависеть от процента отката	https://www.vesti.ru/article/3689396	политика,помощь,коррупция,Украина,Владимир Зеленский, США/Америка,Владимир Рогов,общество,Россия,новости
Армения снова пропустит заседание ОДКБ	https://www.vesti.ru/article/3689449	политика,Армения,ОДКБ,общество,новости
"НСПК составит рейтинг банков по количеству пользователей карт ""Мир"""	https://www.vesti.ru/finance/article/3689443	банк,карта,Мир,новости,экономика
Повестка визита Путина в ОАЭ и Саудовскую Аравию – нефтяной рынок	https://www.vesti.ru/article/3689432	политика,Владимир Путин,нефть,газ,ОАЭ,Саудовская Аравия,новости,экономика
Многодетный участник СВО после ранения готов вернуться в строй	https://www.vesti.ru/article/3689347	солдаты,спецоперация,Россия 1,многодетные семьи,ранение,общество,новости,Только у нас,новости/шоу
Назначен новый постпред России при ОЗХО	https://www.vesti.ru/article/3689406	Владимир Путин,дипломат,посол,Голландия/Нидерланды,ОЗХО,общество,Россия,новости
Нигер прекратил военное сотрудничество с ЕС	https://www.vesti.ru/article/3689361	политика,военные,сотрудничество,ЕС/Евросоюз,новости,Нигер
Предполагаемого убийцу иркутского школьника отправили в СИЗО	https://www.vesti.ru/article/3689419	происшествия,убийство,суд,арест,хулиганство,новости,Иркутск
"""Рубин"" не согласовал форму с РПЛ на игру с ""Динамо"""	https://www.vesti.ru/article/3689363	спорт,футбол,форма,новости,премьер-лига Россия футбол,Рубин футбол,чемпионат России футбол,Динамо Москва футбол
При новом спикере Конгресс США не одобрил ни одного пакета помощи Киеву	https://www.vesti.ru/article/3689238	в мире,политика,помощь,Украина, США/Америка,Конгресс США ,новости,экономика
Лавров: прикаспийские страны укрепят взаимодействие	https://www.vesti.ru/article/3689391	политика,Сергей Лавров,МИД России,Каспий,новости
"Экс-тренера ""ПСЖ"" Галтье будут судить за расизм"	https://www.vesti.ru/article/3689338	спорт,футбол,скандал,расизм,новости,Ницца футбол,Пари Сен-Жермен футбол
"РЭО назвал победителей ""Зеленой премии"""	https://www.vesti.ru/article/3689077	экология,отходы,переработка,общество,новости,события дня,экономика
В России одобрили создание стандарта БРИКС для сертификации карбоновых проектов	https://www.vesti.ru/article/3689303	экология,БРИКС,углерод,общество,Россия,новости,вредные выбросы
Минфин предложил уменьшить максимальный размер ипотечного кредита	https://www.vesti.ru/finance/article/3689318	ипотека,Москва,новости,Министерство финансов/Минфин,экономика
Самолет Ан-12 готовится к аварийной посадке в Хабаровском крае	https://www.vesti.ru/article/3689348	происшествия,самолет,Ан-12,посадка,новости,Хабаровский край
Радулов, Гусев, Голдобин и Ткачев стали капитанами команд на Матче всех звезд	https://www.vesti.ru/article/3689316	спорт,хоккей,КХЛ,Александр Радулов,новости,Никита Гусев,Матч всех звезд
"Песков прокомментировал номинацию Путина на ""Человека года"""	https://www.vesti.ru/article/3689222	в мире,политика,президент,Владимир Путин,Кремль,журнал,номинация,Дмитрий Песков,общество,Россия,новости
В Кремле исключили амнистию осужденных женщин в этом году	https://www.vesti.ru/article/3689235	преступление,женщины,амнистия,Дмитрий Песков,общество,новости
Грязин станет призовым гонщиком команды Citroen	https://www.vesti.ru/article/3689164	спорт,автоспорт,автогонки,ралли,Citroen/Ситроен,новости
"Песков: идея о постоянной выставке ""Россия"" витает в воздухе"	https://www.vesti.ru/article/3689291	Владимир Путин,выставка,Дмитрий Песков,общество,новости,Самое читаемое
На Кубани собутыльники похоронили убитого знакомого в куче навоза	https://www.vesti.ru/article/3689285	происшествия,убийство,навоз,Краснодарский край/Кубань,новости
Минфин: бюджет получит дополнительные доходы в декабре	https://www.vesti.ru/finance/article/3689221	бюджет,доходы,новости,Министерство финансов/Минфин,экономика
Сбросившие беременную подругу с моста подростки отправились в колонию	https://www.vesti.ru/article/3689220	происшествия,убийство,суд,покушение,мост,новости,Магаданская область
Президенты России и Ирана встретятся в Москве	https://www.vesti.ru/article/3688977	политика,президент,Владимир Путин,Кремль,переговоры,Иран,визит,Дмитрий Песков,общество,Россия,новости,Ибрахим Раиси
Москве присвоен высший кредитный рейтинг	https://www.vesti.ru/finance/article/3689194	кредитный рейтинг,рынок труда,Москва,новости,экономика
Зимний кубок РПЛ-2024 пройдет в Абу-Даби с 1 по 15 февраля	https://www.vesti.ru/article/3689172	спорт,футбол,турнир,Абу-Даби,новости,премьер-лига Россия футбол
На Сахалине осудили сбежавшего из зоны СВО военного	https://www.vesti.ru/article/3689168	происшествия,суд,приговор,дезертир,Южно-Сахалинск,новости
Коварный лед: любителей зимней ловли отгоняют от водоемов	https://www.vesti.ru/article/3689137	происшествия,лед,рыбалка,запрет,водоем,общество,новости,Владивосток,события дня
Politico: США разрабатывают план перехода Газы под контроль ПНА	https://www.vesti.ru/article/3688980	политика,война,конфликт,Израиль,Палестина,сектор Газа,ХАМАС, США/Америка,новости,события дня
Китай опять заявил о недопустимости независимости Тайваня	https://www.vesti.ru/article/3689113	в мире,политика,Китай/КНР,независимость,Тайвань,общество,новости
"Объявленный в розыск основатель ""Тануки"" открыл ресторан в Лондоне"	https://www.vesti.ru/article/3689142	происшествия,розыск,Лондон,Тануки,ресторатор,новости,Самое читаемое
"Роспотребнадзор: продукция компании ""Лидское молоко"" опасна для здоровья"	https://www.vesti.ru/finance/article/3689141	сыр,молоко,Роспотребнадзор,общество,новости
Явлинский предложил перемирие по примеру Эльзаса-Лотарингии	https://www.vesti.ru/article/3689027	"политика,Украина,спецоперация,Григорий Явлинский,партия ""Яблоко"",общество,Россия,новости"
Мяч футбольного Euro-2024 набит микрочипами	https://www.vesti.ru/article/3688976	спорт,футбол,Adidas,новости,УЕФА / UEFA,чемпионат Европы
Легкоатлетка Магучих призвала поддержать отстранение россиян и белорусов	https://www.vesti.ru/article/3689079	спорт,Украина,Белоруссия,легкая атлетика,Мария Ласицкене,общество,Россия,новости
Почти 40% релокантов вернулись в Россию	https://www.vesti.ru/article/3688975	Ближний Восток,мобилизация,общество,новости,вид на жительство
Мамина спица проткнула школьнице легкое в питерском ТЦ	https://www.vesti.ru/article/3689017	происшествия,девочка,торговый центр,вязание,ранение,новости,Санкт-Петербург
Глава Европарламента: помощь Киеву – серьезный финансовый вызов	https://www.vesti.ru/article/3688863	в мире,политика,Украина,ЕС/Евросоюз,Европарламент,общество,новости
Конгресс Международной ассоциации бокса пройдет в ОАЭ	https://www.vesti.ru/article/3688992	спорт,бокс,ОАЭ,конгресс,новости
Похороны самой нелюбимой сестры Фиделя пройдут закрыто	https://www.vesti.ru/article/3688873	политика,революция,сестра,похороны,Куба,Фидель Кастро,Рауль Кастро,общество,новости
Три человека погибли в ДТП под Волоколамском	https://www.vesti.ru/article/3688957	происшествия,авария,ДТП,Волоколамск,новости
